agent,run_index,session_id,status,overall_score,deterministic_score,llm_score,completed_turns,avg_question_quality,avg_information_gain,avg_non_redundancy,final_coverage,graph_retrieval_nonempty_rate,graph_total_new_entities,graph_total_relationships_written,run_dir
baseline,1,0169da17f10347718c8ef04b8dae034f,completed,0.3437,0.3437,,20,0.2882,0.1,0.6948,0.0,,,,/Users/oier/Downloads/Narrative-Planner/results/baseline-vs-planner/20260508_051612_93e58a/runs/baseline/run_01
baseline,2,8eaf8486dafe4b8fad9f8e65b3c037a6,completed,0.35,0.35,,20,0.2956,0.1,0.716,0.0,,,,/Users/oier/Downloads/Narrative-Planner/results/baseline-vs-planner/20260508_051612_93e58a/runs/baseline/run_02
baseline,3,13dc32187b1b4dc2bbce6aaf21683e14,completed,0.3447,0.3447,,20,0.2894,0.1,0.6982,0.0,,,,/Users/oier/Downloads/Narrative-Planner/results/baseline-vs-planner/20260508_051612_93e58a/runs/baseline/run_03
baseline,4,80dee841cf6241b5ab7433c701ff78ab,completed,0.3722,0.3722,,20,0.3217,0.1,0.7906,0.0,,,,/Users/oier/Downloads/Narrative-Planner/results/baseline-vs-planner/20260508_051612_93e58a/runs/baseline/run_04
baseline,5,38206ab5f97d46108068fbdaec82e7a1,completed,0.363,0.363,,20,0.3109,0.1,0.7596,0.0,,,,/Users/oier/Downloads/Narrative-Planner/results/baseline-vs-planner/20260508_051612_93e58a/runs/baseline/run_05
baseline,6,253fd8b4ebfe4e87b5ab2ae685b4ac10,completed,0.3427,0.3427,,20,0.2871,0.1,0.6917,0.0,,,,/Users/oier/Downloads/Narrative-Planner/results/baseline-vs-planner/20260508_051612_93e58a/runs/baseline/run_06
baseline,7,37843910453d4c108db7fc73803fa511,completed,0.3701,0.3701,,20,0.3193,0.1,0.7837,0.0,,,,/Users/oier/Downloads/Narrative-Planner/results/baseline-vs-planner/20260508_051612_93e58a/runs/baseline/run_07
baseline,8,4065a69badc04b6fba8fdff9ab003771,completed,0.3741,0.3741,,20,0.3239,0.1,0.7969,0.0,,,,/Users/oier/Downloads/Narrative-Planner/results/baseline-vs-planner/20260508_051612_93e58a/runs/baseline/run_08
baseline,9,1db8c066280544c9b47a55715f7b0786,completed,0.3576,0.3576,,20,0.3046,0.1,0.7418,0.0,,,,/Users/oier/Downloads/Narrative-Planner/results/baseline-vs-planner/20260508_051612_93e58a/runs/baseline/run_09
baseline,10,b54cacabe765453da2af806406910fb4,completed,0.3647,0.3647,,20,0.3129,0.1,0.7656,0.0,,,,/Users/oier/Downloads/Narrative-Planner/results/baseline-vs-planner/20260508_051612_93e58a/runs/baseline/run_10
planner,1,370807a246fa4462a70708138639560e,partial,0.417,0.417,,34,0.4212,0.5603,0.483,0.0,0.0,74,96,/Users/oier/Downloads/Narrative-Planner/results/baseline-vs-planner/20260508_051612_93e58a/runs/planner/run_01
planner,2,11cbc9e6dbad429788985a1d54f758ce,partial,0.4858,0.4858,,32,0.5094,0.6937,0.5635,0.0,0.0,59,117,/Users/oier/Downloads/Narrative-Planner/results/baseline-vs-planner/20260508_051612_93e58a/runs/planner/run_02
planner,3,53197f9aa2e04ba2bde89d9892196035,partial,0.4911,0.4911,,34,0.5101,0.6529,0.618,0.0,0.0,87,111,/Users/oier/Downloads/Narrative-Planner/results/baseline-vs-planner/20260508_051612_93e58a/runs/planner/run_03
planner,4,6530cf15d5fb49a0b866a65e6fe44538,partial,0.4868,0.4868,,34,0.5056,0.6794,0.5711,0.0,0.0,79,125,/Users/oier/Downloads/Narrative-Planner/results/baseline-vs-planner/20260508_051612_93e58a/runs/planner/run_04
planner,5,53612cc6e0fe4a82b71cd300e0ef1426,partial,0.4514,0.4514,,36,0.4561,0.5236,0.6299,0.0,0.0,62,95,/Users/oier/Downloads/Narrative-Planner/results/baseline-vs-planner/20260508_051612_93e58a/runs/planner/run_05
planner,6,41d639d8eb7d4393b73326e2956724f1,partial,0.4781,0.4781,,28,0.509,0.6554,0.6116,0.0,0.0,40,94,/Users/oier/Downloads/Narrative-Planner/results/baseline-vs-planner/20260508_051612_93e58a/runs/planner/run_06
planner,7,70856a756eb547e9bc7d9edfb3d04d47,partial,0.484,0.484,,35,0.4995,0.6571,0.5822,0.0,0.0,69,124,/Users/oier/Downloads/Narrative-Planner/results/baseline-vs-planner/20260508_051612_93e58a/runs/planner/run_07
planner,8,136cca4e84744d04a20aea6643db172b,partial,0.4937,0.4937,,26,0.533,0.7077,0.6129,0.0,0.0,64,97,/Users/oier/Downloads/Narrative-Planner/results/baseline-vs-planner/20260508_051612_93e58a/runs/planner/run_08
planner,9,5a4aee0b0bd648c99109cc90d0530f56,partial,0.457,0.457,,35,0.4661,0.5786,0.5879,0.0,0.0,79,96,/Users/oier/Downloads/Narrative-Planner/results/baseline-vs-planner/20260508_051612_93e58a/runs/planner/run_09
planner,10,687bf58175e14afda5160db76829587e,partial,0.4865,0.4865,,33,0.5071,0.6576,0.6034,0.0,0.0,86,105,/Users/oier/Downloads/Narrative-Planner/results/baseline-vs-planner/20260508_051612_93e58a/runs/planner/run_10
